target_line,group_id,point_id,x,y,z,rx,ry,rz,speed,is_discontinuous,coordinate_frame,base_normal_error_mm,base_x_actual_mm,standoff_mm,base_height_mm,lift_mm
1,106,23,-0.028365060918668306,-0.22587045136585682,0.34385164290209286,-1.5706501844618677,-0.028666439920233655,3.1364939707540431,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,24,-0.058357903392829646,-0.22587606763361251,0.34411838609159145,-1.5706362550828845,-0.028104503480290033,3.1358963758973135,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,25,-0.088350745886501381,-0.22588168407118925,0.34438512255994841,-1.5706229980462325,-0.027542552720513314,3.1352988151263252,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,26,-0.11834358840570691,-0.22588730067292273,0.34465185230704409,-1.570610413303261,-0.02698058863318642,3.1347012876967693,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,27,-0.14833643095647009,-0.2258929174331484,0.34491857533277259,-1.5705985008051555,-0.02641861221048547,3.1341037928643494,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,28,-0.17832927354481409,-0.22589853434620136,0.34518529163704142,-1.5705872605029376,-0.025856624444477783,3.1335063298847818,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,29,-0.20832211617676233,-0.22590415140641637,0.34545200121977176,-1.5705766923474633,-0.025294626327127423,3.1329088980138011,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,30,-0.23821410970641521,-0.22582824224854425,0.34571652454204377,-1.5701591249846762,-0.032883556340625342,3.1222140631897934,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,31,-0.26804145242659172,-0.22581773133190491,0.34666097026831716,-1.5696039162906943,-0.033920462064451762,3.1064472398275984,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,32,-0.2979957493874692,-0.22582894303733841,0.34784983485234833,-1.5695707358344835,-0.032796726964949396,3.1042340175382401,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,33,-0.082669753206928043,-0.19637383947681708,0.34467340944296704,-1.5710898999480052,0.021675635016829897,3.1280484968478564,10,1.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,34,-0.052683177181431562,-0.19637316643704694,0.34444866742547547,-1.5710617894331877,0.021608672646279414,3.1293073109227532,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,35,-0.022696601334543098,-0.19637249304291898,0.34422390953681703,-1.5710338477344004,0.021541638618793435,3.1305661160077762,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,36,0.0041298162621747903,-0.16637064645055319,0.34468814794549557,-1.5709584503184679,0.021357630887705703,3.1340013276907737,10,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,37,-0.025850826158285711,-0.16637164460767059,0.3449156724395625,-1.5709989041527765,0.021457128604741804,3.1321511812429708,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,38,-0.055835110974957525,-0.16637244110461027,0.3451404229014689,-1.5710317002400593,0.02153646684038546,3.1306631787360857,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,39,-0.085819395996108438,-0.16637323710881211,0.34536515118569244,-1.571064732521573,0.021615705668407204,3.1291751621958515,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,40,-0.085057359787039877,-0.13637223884429242,0.34602758615772233,-1.5710233477805298,0.021516324646607909,3.1310411265499791,10,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,41,-0.05507638590192121,-0.13637126480956724,0.34580286331917803,-1.5709833561289253,0.021419279752564302,3.1328603859323714,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,42,-0.02510910124428789,-0.13636952819908324,0.34555621846028822,-1.5709144731903144,0.02124606714642141,3.1360314329645584,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,43,0.0048504149789048157,-0.13636735645742509,0.34529702024246706,-1.5708304579670562,0.021029145205532673,3.1399694940365963,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,44,-0.023601393055926012,-0.10636731577044822,0.34615829887321359,-1.5708289014829058,0.021025078071598369,3.1400432152511986,10,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,45,-0.053570907150036762,-0.10636893625268785,0.34641756155012515,-1.5708913912676805,0.021186974386028457,3.1371054179030202,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
