group_id,point_id,robot_x,robot_y,robot_theta,tcp_x_mm,tcp_y_mm,tcp_z_mm,tcp_rx_deg,tcp_ry_deg,tcp_rz_deg,world_x,world_y,world_z
106,11,-2.4,0.39024,89.7068,-114.3081,1270.376,-383.6162,-178.6613,-5.3864,-0.1248,0.873133729,2.515258769,0.570587879
106,12,-2.4,0.39024,89.7068,-114.1774,1239.8071,-384.3508,-178.4435,-5.3354,-0.1441,0.84254091,2.515118553,0.569838983
106,13,-2.4,0.39024,89.7068,-114.0402,1209.3715,-385.1535,-178.2656,-5.2813,-0.16,0.812063095,2.514969954,0.569001573
106,14,-2.4,0.39024,89.7068,-113.9182,1179.0083,-386.1174,-178.1253,-5.2344,-0.1712,0.781688934,2.514839714,0.56803465
106,15,-2.4,0.39024,89.7068,-113.8057,1148.6954,-387.1785,-178.0011,-5.1869,-0.1803,0.751363868,2.514709205,0.56695563
106,16,-2.4,0.39024,89.7068,-113.6089,1139.9308,-387.466,-178.0099,-5.1071,-0.177,0.742560684,2.51448922,0.566662449
106,17,-2.4,0.39024,89.7068,-82.6852,1140.399,-384.8472,-177.8396,-4.7266,-0.1689,0.742970671,2.483436453,0.569265658
106,18,-2.4,0.39024,89.7068,-82.7231,1170.3016,-383.7665,-177.7852,-4.7684,-0.1847,0.772789078,2.483539347,0.570392835
106,19,-2.4,0.39024,89.7068,-82.9859,1200.821,-382.6911,-178.0122,-4.8525,-0.1664,0.803382323,2.483777705,0.571529501
106,20,-2.4,0.39024,89.7068,-83.0402,1231.2155,-381.7358,-178.1434,-4.8814,-0.1576,0.833751379,2.483854162,0.572442606
