group_id,point_id,q1,q2,q3,q4,q5,q6,collision_detected,lift_height
118,47,-1.741548567,-0.493469373,1.772420707,-2.90354235,-1.579883104,-0.170534486,FALSE,150.0
118,48,-1.742943695,-0.500385583,1.833680858,-2.965037211,-1.58783985,-0.171892554,FALSE,150.0
118,49,-1.750470543,-0.505409984,1.892214012,-3.022342275,-1.584943057,-0.179356838,FALSE,150.0
118,50,-1.756299956,-0.509614941,1.928388808,-3.052401487,-1.582235118,-0.185185676,FALSE,150.0
118,51,-1.804349687,-0.511174249,1.929635636,-3.047734469,-1.559531282,-0.233151005,FALSE,150.0
118,52,-1.795036254,-0.504750029,1.875884004,-3.003005766,-1.561977926,-0.223821381,FALSE,150.0
118,53,-1.785197014,-0.499994678,1.814766831,-2.940200193,-1.566632664,-0.214086632,FALSE,150.0
118,54,-1.776661298,-0.491684414,1.75270962,-2.88137392,-1.569962992,-0.205622114,FALSE,150.0
118,55,-1.768438671,-0.481166688,1.687399572,-2.81994342,-1.573728605,-0.197474523,FALSE,150.0
118,56,-1.761720532,-0.467021307,1.623179122,-2.767293773,-1.575385747,-0.190785265,FALSE,150.0
118,57,-1.758218903,-0.451243333,1.554111539,-2.707329523,-1.571034929,-0.187321608,FALSE,150.0
118,58,-1.759625414,-0.43227273,1.48657328,-2.655552095,-1.556346058,-0.188750698,FALSE,150.0
118,59,-1.755201227,-0.411294918,1.412110311,-2.596474382,-1.554623847,-0.184363052,FALSE,150.0
118,60,-1.749918188,-0.387538722,1.337098702,-2.543202154,-1.555428099,-0.179089296,FALSE,150.0
118,61,-1.744523818,-0.361145036,1.255186573,-2.482928261,-1.557158969,-0.173711817,FALSE,150.0
118,62,-1.739854837,-0.331793447,1.171546926,-2.42674771,-1.557783052,-0.169048459,FALSE,150.0
118,63,-1.735144232,-0.298801187,1.079015106,-2.362854559,-1.559094925,-0.164347591,FALSE,150.0
118,64,-1.730985961,-0.262004268,0.9820842,-2.300916545,-1.559570765,-0.160192385,FALSE,150.0
118,65,-1.726809233,-0.219327574,0.871143416,-2.228168644,-1.560614138,-0.156020768,FALSE,150.0
118,66,-1.723099608,-0.170269576,0.750186125,-2.154748714,-1.560916756,-0.152312131,FALSE,150.0
118,67,-1.719514691,-0.11008744,0.60520937,-2.067720208,-1.561337455,-0.148728012,FALSE,150.0
118,68,-1.742611857,-0.120790219,0.629978685,-2.080257315,-1.56156807,-0.171826321,FALSE,150.0
118,69,-1.746798826,-0.17900806,0.771191348,-2.16594894,-1.560994834,-0.176012781,FALSE,150.0
118,70,-1.75116803,-0.226982849,0.890730652,-2.239937648,-1.560463706,-0.180380406,FALSE,150.0
118,71,-1.755865182,-0.268280963,0.997729034,-2.308802468,-1.559634819,-0.185073947,FALSE,150.0
118,72,-1.760798377,-0.304528328,1.0947586,-2.372549732,-1.55879956,-0.190001834,FALSE,150.0
118,73,-1.766068146,-0.336734867,1.184649526,-2.433354613,-1.557756288,-0.195264116,FALSE,150.0
118,74,-1.771619812,-0.365611021,1.268636483,-2.49145793,-1.556698269,-0.200806353,FALSE,150.0
118,75,-1.777614722,-0.391503404,1.348413656,-2.548808859,-1.555303717,-0.206787734,FALSE,150.0
118,76,-1.783925649,-0.414756899,1.423991985,-2.604346835,-1.553942656,-0.213083062,FALSE,150.0
118,77,-1.790863443,-0.435355248,1.497028389,-2.660878307,-1.551991702,-0.219997111,FALSE,150.0
118,78,-1.798072043,-0.453684139,1.566465975,-2.715356986,-1.550327653,-0.227181691,FALSE,150.0
118,79,-1.806307796,-0.469114855,1.634900937,-2.773602207,-1.547433228,-0.235374409,FALSE,150.0
118,80,-1.814535199,-0.482726843,1.699362938,-2.827717071,-1.54558323,-0.243568062,FALSE,150.0
118,81,-1.824362127,-0.492677816,1.764112567,-2.888878409,-1.541640786,-0.253323347,FALSE,150.0
