target_line,group_id,point_id,q1,q2,q3,q4,q5,q6,is_discontinuous,is_task_waypoint,source_point_id,waypoint_kind,speed,base_normal_error_mm,base_x_actual_mm,standoff_mm,base_height_mm,lift_mm
1,132,322,-1.638776738,-0.3770492018,1.034994277,-2.214587835,-1.496327584,-0.06817027885,0,1,256,task,30,0,-1610,50,652,0
1,132,323,-1.637229626,-0.3354474265,0.9379317436,-2.161514368,-1.496067986,-0.06662140267,0,1,257,task,30,0,-1610,50,652,0
1,132,324,-1.636482617,-0.3121590732,0.8841863098,-2.132209806,-1.495970832,-0.06587318835,0,0,,transition,30,0,-1610,50,652,0
1,132,325,-1.635735607,-0.2888707199,0.8304408759,-2.102905244,-1.495873678,-0.06512497403,0,1,258,task,30,0,-1610,50,652,0
1,132,326,-1.635020864,-0.2620312542,0.7691654652,-2.069615806,-1.495783103,-0.06440889213,0,0,,transition,30,0,-1610,50,652,0
1,132,327,-1.634306121,-0.2351917885,0.7078900546,-2.036326368,-1.495692527,-0.06369281023,0,1,259,task,30,0,-1610,50,652,0
1,132,328,-1.633622336,-0.2025641799,0.6341810815,-1.996389456,-1.495605482,-0.06300757906,0,0,,transition,30,0,-1610,50,652,0
1,132,329,-1.632938551,-0.1699365714,0.5604721083,-1.956452544,-1.495518437,-0.06232234788,0,1,260,task,30,0,-1610,50,652,0
1,132,330,-1.610967469,-0.1917673374,0.6038747898,-1.976307676,-1.495608793,-0.04028818263,0,1,261,task,10,0,-1610,50,652,0
1,132,331,-1.611405033,-0.222334206,0.6728005176,-2.013181662,-1.495690504,-0.04072643683,0,0,,transition,30,0,-1610,50,652,0
1,132,332,-1.611842597,-0.2529010747,0.7417262454,-2.050055647,-1.495772216,-0.04116469103,0,1,262,task,30,0,-1610,50,652,0
1,132,333,-1.612302623,-0.278706188,0.8008776713,-2.082463399,-1.495847771,-0.04162549047,0,0,,transition,30,0,-1610,50,652,0
1,132,334,-1.612762649,-0.3045113013,0.8600290971,-2.114871151,-1.495923326,-0.04208628991,0,1,263,task,30,0,-1610,50,652,0
